Experiment_ID,Model,Model_Full_Name,Transfer_Learning_Mode,Initialization,Train_Dataset_A,Train_Dataset_B,Train_Combination,Test_Dataset_C,Train_A_Path,Train_B_Path,Test_C_Path,Train_Split,Validation_Split,Test_Split,Experiment_Description,Localization_F1,No_Damage_F1,Minor_Damage_F1,Major_Damage_F1,Destroyed_F1,Damage_Macro_F1,Overall_Score,Run_Status,Notes
HRTBDA_COMBO_0032,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,EARTHQUAKE-TURKEY,HURRICANE-IAN,EARTHQUAKE-TURKEY + HURRICANE-IAN,TEXAS-TORNADOES,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-IAN,/homes/j244s673/documents/wsu/phd/dataset/TEXAS-TORNADOES,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on EARTHQUAKE-TURKEY + HURRICANE-IAN, test on TEXAS-TORNADOES",,,,,,,,Not started,
HRTBDA_COMBO_0033,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,EARTHQUAKE-TURKEY,HURRICANE-IAN,EARTHQUAKE-TURKEY + HURRICANE-IAN,TONGA-VOLCANO,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-IAN,/homes/j244s673/documents/wsu/phd/dataset/TONGA-VOLCANO,train,val,test,"Train HRTBDA from scratch on EARTHQUAKE-TURKEY + HURRICANE-IAN, test on TONGA-VOLCANO",,,,,,,,Not started,
HRTBDA_COMBO_0034,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,EARTHQUAKE-TURKEY,HURRICANE-IAN,EARTHQUAKE-TURKEY + HURRICANE-IAN,TONGA-VOLCANO,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-IAN,/homes/j244s673/documents/wsu/phd/dataset/TONGA-VOLCANO,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on EARTHQUAKE-TURKEY + HURRICANE-IAN, test on TONGA-VOLCANO",,,,,,,,Not started,
HRTBDA_COMBO_0035,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,EARTHQUAKE-TURKEY,HURRICANE-IAN,EARTHQUAKE-TURKEY + HURRICANE-IAN,xBD,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-IAN,/homes/j244s673/documents/wsu/phd/dataset/xBD,train,val,test,"Train HRTBDA from scratch on EARTHQUAKE-TURKEY + HURRICANE-IAN, test on xBD",,,,,,,,Not started,
HRTBDA_COMBO_0036,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,EARTHQUAKE-TURKEY,HURRICANE-IAN,EARTHQUAKE-TURKEY + HURRICANE-IAN,xBD,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-IAN,/homes/j244s673/documents/wsu/phd/dataset/xBD,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on EARTHQUAKE-TURKEY + HURRICANE-IAN, test on xBD",,,,,,,,Not started,
HRTBDA_COMBO_0037,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,EARTHQUAKE-TURKEY,HURRICANE-LAURA,EARTHQUAKE-TURKEY + HURRICANE-LAURA,EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-LAURA,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,train,val,test,"Train HRTBDA from scratch on EARTHQUAKE-TURKEY + HURRICANE-LAURA, test on EARTHQUAKE-TURKEY",,,,,,,,Not started,
HRTBDA_COMBO_0038,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,EARTHQUAKE-TURKEY,HURRICANE-LAURA,EARTHQUAKE-TURKEY + HURRICANE-LAURA,EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-LAURA,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on EARTHQUAKE-TURKEY + HURRICANE-LAURA, test on EARTHQUAKE-TURKEY",,,,,,,,Not started,
HRTBDA_COMBO_0039,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,EARTHQUAKE-TURKEY,HURRICANE-LAURA,EARTHQUAKE-TURKEY + HURRICANE-LAURA,HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-LAURA,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,train,val,test,"Train HRTBDA from scratch on EARTHQUAKE-TURKEY + HURRICANE-LAURA, test on HURRICANE-DELTA",,,,,,,,Not started,
HRTBDA_COMBO_0040,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,EARTHQUAKE-TURKEY,HURRICANE-LAURA,EARTHQUAKE-TURKEY + HURRICANE-LAURA,HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-LAURA,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on EARTHQUAKE-TURKEY + HURRICANE-LAURA, test on HURRICANE-DELTA",,,,,,,,Not started,
HRTBDA_COMBO_0041,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,EARTHQUAKE-TURKEY,HURRICANE-LAURA,EARTHQUAKE-TURKEY + HURRICANE-LAURA,HURRICANE-IAN,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-LAURA,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-IAN,train,val,test,"Train HRTBDA from scratch on EARTHQUAKE-TURKEY + HURRICANE-LAURA, test on HURRICANE-IAN",,,,,,,,Not started,
